Company,Name,Length,Width,Height,Weight
DJI,MAVIC 2 ZOOM,322,242,84,905
DJI,MAVIC 2 PRO,322,242,84,907
DJI,PHANTOM 4 PRO,289.5,289.5,196,1375
DJI,SPARK,143,143,55,300
DJI,INSPIRE 2,427,317,425,3440
DJI,MG-1P,1460,1460,616,9700
KaKBeir,SG700D,400,300,60,147
CERES,10s,1940,1680,460,14900
CERES,16H,1860,1860,600,17100
CERES,CERES3 Lite,365,365,110,992
EFT,G420,1974,2665,868,18320
intosky,PREX9-T18,1590,1370,570,18500
Raptor,T Quad 25E,730,600,330,1434
KoreanAir,Inspection Drone,1002,1002,404,5500
Xiaomi,FIMI X8 SE,204,106,72.6,790
XK,X380,305,305,210,945
DJI,mini2,159,203,56,249
EFT,EFT610,1800,1800,480,13800
infinity works,P6CR,860,760,650,9700
infinity works,P6,1140,1000,650,9400
infinity works,P4A,1225,880,580,15000
infinity works,P4X,350,250,150,1400
soomvi,V-100,1000,482.6,770,13100
xdrone,XD-X8S,1100,1100,860,13500
Uconsystem,Remocopter-800,643,643,255,5250
Uconsystem,Remocopter-900,535,535,150,7600
Huins,Blueye-1K,330,300,600,1200
ARWroks,DAMO AR-X8,1000,1000,600,10200
drogen,LOBIT 300GT,360,268,100,850
Enord,Kdrone-A20,2123,2123,688,18800
